Item ref,Class,Section,Sub-heading,Item,Item unit,Line,Type,Code,Resource,Qty,Qty unit,Rate EUR,Line cost EUR,Crew / spread
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,5,Plant,P045,8 tonne wheeled backacter,0.668349,hr,84.6646,56.59,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,6,Plant,P028,3 tonne dumper,0.668349,hr,24.6393,16.47,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,7,Plant,P031,"3.7 m3/min compressor, 2 tool",0.668349,hr,24.8147,16.58,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,8,Plant,P021,2.4 m3/min road breakers,1.336697,hr,9.706,12.97,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,9,Plant,P067,extra 50 ft / 15 m hose,0.668349,hr,0.6198,0.41,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,0.668349,hr,5.7534,3.85,Plant Resources Build-up Rate; Trial holes
134,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,1,Labour,L011,ganger/chargehand (skill rate 4),0.481043,hr,49.2431,23.69,Labour Gang Build-up Rate; Trial hole gang
134,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,2,Labour,L019,skilled operative (skill rate 4),0.481043,hr,46.2624,22.25,Labour Gang Build-up Rate; Trial hole gang
134,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,3,Labour,L023,unskilled operative (general),0.962086,hr,38.7141,37.25,Labour Gang Build-up Rate; Trial hole gang
134,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,4,Labour,L016,plant operator (skill rate 3),0.481043,hr,61.1185,29.4,Labour Gang Build-up Rate; Trial hole gang
